Date,Match_Time,Team_1,Team1_Score,Team_2,Team2_Score,Team1_Bage_url,Team2_badge_url,Time_stamp,,,,,,Goal_status
25/11/2022 (10:00 GMT),14',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:15:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),14',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:16:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),14',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:17:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),16',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:18:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),18',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:19:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),18',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:20:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),20',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:21:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),20',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:22:07 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),22',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:23:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),22',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:24:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),24',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:25:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),24',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:26:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),26',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:27:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),26',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:28:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),27',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:29:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),27',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:30:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),27',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:31:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),29',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:32:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),31',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:33:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),31',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:34:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),31',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:35:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),33',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:36:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),36',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:37:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),36',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:38:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),38',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:39:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),38',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:40:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),40',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:41:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),40',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:42:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),42',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:43:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),42',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:44:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),44',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:45:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),45',Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:46:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),45'+,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:47:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),45'+,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:48:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),45'+,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:49:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),45'+,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:50:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),45'+,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:51:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:52:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:53:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:54:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:55:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:56:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:57:07 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:58:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 15:59:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 16:00:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 16:01:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 16:02:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 16:03:06 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 16:04:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 16:05:05 GMT+0500 (Pakistan Standard Time),,,,,,null
25/11/2022 (10:00 GMT),HT,Wales,0,Iran,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_eyhp0bgsz2deg91xaw4zotn5c.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_cubclbw5k5gdqdau95bnav0nn.png,Fri Nov 25 2022 16:06:06 GMT+0500 (Pakistan Standard Time),,,,,,null
